Ref_Date,GEO,INS,RAN,STA,Value
2016/2017,Canada,University of New Brunswick,With senior administrative duties,Total teaching staff,15
2016/2017,Canada,University of New Brunswick,With senior administrative duties,Average (dollars),134575
2016/2017,Canada,University of New Brunswick,With senior administrative duties,Median (dollars),135825
2016/2017,Canada,University of New Brunswick,Without senior administrative duties,Total teaching staff,111
2016/2017,Canada,University of New Brunswick,Without senior administrative duties,Average (dollars),121475
2016/2017,Canada,University of New Brunswick,Without senior administrative duties,Median (dollars),118675
2016/2017,Canada,University of New Brunswick,Assistant professor,Total teaching staff,66
2016/2017,Canada,University of New Brunswick,Assistant professor,Average (dollars),96025
2016/2017,Canada,University of New Brunswick,Assistant professor,Median (dollars),96050
2016/2017,Canada,University of New Brunswick,Rank below assistant professor,Total teaching staff,105
2016/2017,Canada,University of New Brunswick,Rank below assistant professor,Average (dollars),107175
2016/2017,Canada,University of New Brunswick,Rank below assistant professor,Median (dollars),109225
2016/2017,Canada,University of New Brunswick,Other teaching staff,Total teaching staff,9
2016/2017,Canada,University of New Brunswick,Other teaching staff,Average (dollars),97475
2016/2017,Canada,University of New Brunswick,Other teaching staff,Median (dollars),x
2016/2017,Canada,University of New Brunswick,All ranks combined (including deans),Total teaching staff,558
2016/2017,Canada,University of New Brunswick,All ranks combined (including deans),Average (dollars),130425
2016/2017,Canada,University of New Brunswick,All ranks combined (including deans),Median (dollars),133150
2016/2017,Canada,University of New Brunswick,Male,Total teaching staff,330
2016/2017,Canada,University of New Brunswick,Male,Average (dollars),136625
2016/2017,Canada,University of New Brunswick,Male,Median (dollars),138900
2016/2017,Canada,University of New Brunswick,Female,Total teaching staff,228
2016/2017,Canada,University of New Brunswick,Female,Average (dollars),121525
2016/2017,Canada,University of New Brunswick,Female,Median (dollars),121775
2016/2017,Canada,Université de Moncton - Campus de Moncton,Full professor,Total teaching staff,93
2016/2017,Canada,Université de Moncton - Campus de Moncton,Full professor,Average (dollars),138525
2016/2017,Canada,Université de Moncton - Campus de Moncton,Full professor,Median (dollars),140750
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Total teaching staff,21
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Average (dollars),139275
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Median (dollars),139175
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Total teaching staff,72
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Average (dollars),138300
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Median (dollars),141875
2016/2017,Canada,Université de Moncton - Campus de Moncton,Associate professor,Total teaching staff,90
2016/2017,Canada,Université de Moncton - Campus de Moncton,Associate professor,Average (dollars),110675
2016/2017,Canada,Université de Moncton - Campus de Moncton,Associate professor,Median (dollars),109950
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Total teaching staff,18
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Average (dollars),116100
2016/2017,Canada,Université de Moncton - Campus de Moncton,With senior administrative duties,Median (dollars),113975
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Total teaching staff,72
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Average (dollars),109325
2016/2017,Canada,Université de Moncton - Campus de Moncton,Without senior administrative duties,Median (dollars),108625
2016/2017,Canada,Université de Moncton - Campus de Moncton,Assistant professor,Total teaching staff,66
2016/2017,Canada,Université de Moncton - Campus de Moncton,Assistant professor,Average (dollars),93175
2016/2017,Canada,Université de Moncton - Campus de Moncton,Assistant professor,Median (dollars),97825
2016/2017,Canada,Université de Moncton - Campus de Moncton,Rank below assistant professor,Total teaching staff,18
2016/2017,Canada,Université de Moncton - Campus de Moncton,Rank below assistant professor,Average (dollars),73325
2016/2017,Canada,Université de Moncton - Campus de Moncton,Rank below assistant professor,Median (dollars),75125
2016/2017,Canada,Université de Moncton - Campus de Moncton,All ranks combined (including deans),Total teaching staff,276
2016/2017,Canada,Université de Moncton - Campus de Moncton,All ranks combined (including deans),Average (dollars),114025
2016/2017,Canada,Université de Moncton - Campus de Moncton,All ranks combined (including deans),Median (dollars),111175
2016/2017,Canada,Université de Moncton - Campus de Moncton,Male,Total teaching staff,168
